6377  2775  6374
4310  1067  1061
1128  6398  4448
6052  1809  2870
2241  718  2448
6247  1973  5047
1057  5479  3233
1902  2386  2101
4854  4343  4601
1487  4362  1700
2944  3019  1212
369  6048  3634
298  293  930
5489  5315  4287
4810  4809  3235
5930  4823  1251
4405  562  791
2574  4675  4303
5540  3546  1180
2345  3712  2617
3546  671  1180
2236  1270  2480
6324  3469  1329
6324  1329  3916
5131  5132  5138
6236  4266  3276
6048  3704  3433
164  5959  5113
772  2735  2732
1180  4844  2908
3916  3918  4401
2567  3000  4838
2220  5111  4361
4907  4507  6253
1659  91  1871
6253  4507  6075
506  4679  2417
334  3275  1699
3661  3286  955
4900  217  1899
6049  5969  1488
3677  1170  3391
4053  6239  1178
4851  5580  3437
5135  1977  463
1388  4494  5218
4824  1268  2037
5963  5078  2394
2776  4671  1296
960  1422  1421
6370  4495  719
5700  1156  1157
2452  2735  2421
198  2906  674
3552  5954  4813
216  2728  3523
6187  4378  5352
294  5124  5123
5075  3220  326
1776  4147  4502
2556  1841  1840
1272  5289  4603
1621  1841  5641
624  4954  3701
2345  2617  6163
5117  503  2498
393  394  5740
5747  5748  2610
5562  4306  4295
3901  1053  2803
3448  5642  2216
567  4234  3673
2606  118  3696
4349  6434  5524
2558  5185  5751
705  2114  2007
3408  6233  4299
2573  1669  503
4857  5072  3948
2153  5941  4094
746  2115  5475
1834  4058  5216
459  4205  450
3288  10  796
5120  3536  628
2604  214  2551
3063  4497  5493
165  5645  3383
5599  620  6133
3901  2803  362
634  628  3536
1328  4259  3995
6372  2129  5023
1246  4953  5716
4551  794  2415
2231  1148  402
853  532  2039
3228  5640  1841
6191  6418  429
4773  2705  5310
5475  1023  5755
5472  5504  4483
715  3791  1619
1485  1732  2339
455  629  3786
4568  4344  5465
2569  2390  212
1163  3841  2565
5241  2398  4796
1695  2237  1270
746  5475  5755
3992  2770  1033
5372  3850  1981
3274  5732  5055
5030  1375  5485
3778  6067  3817
465  769  4271
465  4271  4274
5382  1053  1330
5676  5142  762
5242  3698  4860
5195  2630  6326
5352  1285  1284
1173  2984  2739
1257  3987  535
1063  3086  4295
3064  447  231
1556  5276  5279
399  3297  6070
3084  176  6330
762  5142  566
2261  4592  1837
6186  3987  1257
2308  5359  5138
4370  5396  842
4650  702  419
1760  4367  469
5501  4062  4152
5682  2953  5313
2943  5863  6226
404  3951  3954
4350  2865  6003
5241  5699  5546
3491  954  6084
717  5218  6137
2063  4916  5050
6072  6190  3157
3138  4372  4368
4268  2850  5996
1624  2155  2300
4432  233  5454
3956  2711  2367
185  3742  5073
216  6248  2728
1777  5520  1909
536  5484  846
5393  5627  5624
5393  2032  5627
537  845  3613
2157  376  1810
1051  4273  6316
6283  5708  2451
4344  3617  5465
462  1977  5135
216  217  4900
5223  1007  315
2261  2561  4592
5817  4906  4848
5640  3228  4957
1904  293  2041
221  635  457
2771  2251  1903
4609  6316  5596
5123  5314  4697
1733  2671  6081
1945  1948  4260
649  531  3915
953  5500  2495
429  6418  2722
5053  3996  5313
5498  4346  5096
1781  3990  2853
5872  6148  4230
1196  3186  2848
1703  2227  1472
5432  933  3527
2367  2711  393
415  4174  814
5845  6070  4206
170  2423  3449
5905  3573  4348
3472  3471  3449
3471  170  3449
3777  2252  462
5089  333  3812
333  5602  3812
1697  882  855
663  1539  662
2457  3488  3474
3079  1467  5397
5501  1164  4062
196  3999  1700
3079  1690  1467
1157  3024  5700
537  3778  3817
6144  817  6175
4121  5203  2243
4674  5199  720
1322  4821  3577
1787  2601  3828
392  3735  2601
94  2980  92
2369  2613  733
1056  5114  6165
4705  707  1541
759  2313  756
5793  5792  3441
2522  1128  4689
82  4272  2721
2129  5288  5023
6052  984  3570
3288  3902  3287
1690  654  1467
3790  5648  4050
1027  2798  4768
4616  1489  4617
3538  6070  5845
3377  3793  462
