65.3428  128.459  0
305.5  127.376  0
299.233  145.52  0
51.8623  128.003  0
282.777  130.519  0
281.455  129.622  0
90.4264  128.389  0
77.0329  128.353  0
309.82  128.687  0
279.643  128.221  0
85.7627  108.701  0
292.18  116.409  0
63.4489  129.087  0
234.11  78.0847  0
70.1361  140.291  0
166.525  200.063  0
273.235  181.008  0
73.1542  101.615  0
308.604  125.998  0
69.8604  101.871  0
184.046  174.243  0
176.188  174.056  0
173.871  174.691  0
172.567  174.421  0
161.937  174.664  0
149.958  174.958  0
121.584  173.073  0
112.496  175.032  0
109.141  173.699  0
277.722  173.941  0
216.044  133.673  1
243.398  134.832  1
146.487  154.221  1
157.107  153.445  1
220.6  154.227  1
276.59  154.201  1
280.827  154.534  1
282.939  154.576  1
160.382  154.359  1
198.476  154.645  1
204.599  154.421  1
208.113  153.97  1
60.3072  130.948  1
293.491  126.782  1
89.9498  104.975  1
130.204  118.127  1
178.006  76.341  1
208.974  188.465  1
164.533  94.0249  1
137.909  187.624  1
243.627  108.018  1
256.911  94.8849  1
196.215  199.994  0
122.631  201.891  0
125.643  203.607  0
127.584  203.432  0
108.316  155.627  0
210.547  202.545  0
127.148  202.1  0
146.928  202.579  0
148.566  201.498  0
123.664  202.715  0
203.619  157.273  1
243.305  105.676  1
157.357  187.37  1
273.674  100.966  1
295.472  155.659  1
172.886  95.3334  1
160.483  74.2511  1
240.173  146.582  1
185.471  85.0328  1
210.643  189.687  1
256.932  187.976  0
271.421  91.0838  0
268.791  90.6714  0
266.463  82.3364  0
262.208  177.676  0
144.135  168.324  0
221.378  81.2843  0
257.385  79.3649  0
236.72  170.754  1
102.874  170.119  0
92.8986  96.0466  0
295.641  129.099  0
286.575  90.1352  0
299.679  128.72  0
193.28  91.4725  0
219.342  148.986  1
208.521  171.014  1
62.2234  129.314  0
242.659  92.4503  0
264.368  127.169  0
238.798  91.6716  0
265.969  128.341  0
180.593  127.452  1
274.269  128.62  0
79.3662  90.2473  1
288.787  129.685  0
287.377  108.928  1
107.922  133.63  1
101.814  150.346  1
292.083  125.242  1
287.837  147.114  1
154.91  159.667  1
207.826  150.557  1
83.2399  128.881  1
133.217  147.372  1
131.885  110.857  0
177.989  162.412  0
185.334  162.894  0
190.061  162.99  0
93.9404  152.835  0
90.7727  160.723  0
112.379  163.017  0
127.56  161.529  0
149.172  162.098  0
286.805  160.613  0
82.2948  163.314  0
94.5268  116.712  1
146.828  62.1414  1
152.762  115.552  1
282.427  116.138  1
107.742  174.377  1
208.498  126.203  1
267.473  117.426  1
268.463  116.336  1
202.726  204.675  1
246.784  99.4767  1
198.787  183.412  0
84.0495  145.677  0
87.3935  146.051  0
94.421  146.661  0
117.209  145.318  0
278.985  145.439  0
281.127  145.574  0
74.0221  146.224  0
301.872  148.52  0
71.214  146.461  0
280.857  118.06  1
88.7424  164.413  1
167.819  120.141  1
135.242  119.45  1
175.559  119.341  1
171.549  119.344  1
150.464  104.784  1
181.639  119.497  1
210.649  192.13  1
185.258  119.575  1
233.437  187.555  0
237.805  187.676  0
135.378  188.188  0
137.904  188.873  0
139.375  189.212  0
228.745  188.298  0
240.608  188.208  0
123.597  189.71  0
133.357  189.07  0
160.819  174.089  0
57.6956  118.35  0
93.546  120.228  0
257.099  179.927  0
151.163  202.461  0
193.025  172.477  0
179.437  204.872  0
75.4876  83.1707  0
134.567  195.958  0
273.996  175.633  0
301.637  106.314  0
52.9881  107.383  0
57.7189  107.642  0
59.4395  107.56  0
63.7488  108.007  0
156.037  194.321  0
124.074  151.431  0
122.419  106.862  0
126.932  156.859  0
260.456  182.051  0
202.082  186.918  0
54.6631  130.598  0
82.4726  107.87  0
125.324  205.659  0
112.55  187.515  0
269.262  83.2882  0
96.9651  123.38  0
98.4541  184.574  0
292.564  134.663  1
190.963  155.836  1
142.359  190.473  1
126.463  190.336  1
61.5872  132.568  1
245.512  109.645  1
247.177  188.682  1
141.499  189.266  1
176.254  154.626  1
197.273  116.88  1
285.991  119.855  0
270.934  118.372  0
62.3156  120.158  0
57.4972  120.495  0
111.406  119.375  0
110.293  119.755  0
118.835  119.647  0
121.05  119.139  0
107.479  119.834  0
104.895  120.043  0
143.997  139.481  1
215.111  117.167  1
248.914  166.506  0
232.901  166.514  0
285.038  135.598  0
201.64  90.57  0
166.166  167.65  0
164.13  167.72  0
286.619  166.239  0
279.889  165.342  0
112.337  168.729  0
114.014  170.404  0
262.041  174.618  0
280.149  177.956  0
52.6052  125.594  0
58.4394  80.4748  0
73.9358  97.5327  0
101.156  122.839  0
94.1631  141.31  0
304.897  124.688  0
293.548  116.615  0
272.893  179.816  0
209.063  89.1973  0
298.112  138.418  0
106.7  146.534  1
109.187  175.871  0
283.727  174.341  0
204.694  174.905  0
195.463  175.741  0
139.021  176.982  0
104.177  175.444  0
148.258  175.677  0
110.425  176.553  0
182.338  175.589  0
179.999  175.698  0
173.463  125.336  1
177.463  125.23  1
268.545  126.179  1
99.5583  127.163  1
101.428  127.436  1
103.483  127.062  1
118.404  126.017  1
255.6  165.367  1
176.003  58.636  1
69.4123  127.333  1
60.6578  87.0001  1
109.98  178.581  1
271.179  88.5844  1
180.637  116.802  1
234.441  87.2222  1
155.143  175.959  1
99.9405  182.786  1
80.4076  88.2428  1
64.7393  87.766  1
214.662  131.403  1
256.567  152.128  1
276.463  152.336  1
203.013  151.918  1
205.932  152.084  1
178.268  152.494  1
286.198  176.089  0
172.414  152.507  1
112.283  150.359  1
280.244  168.904  0
144.792  152.212  1
56.3633  92.6337  0
115.356  164.16  0
73.025  139.47  0
75.8583  103.752  0
161.433  198.888  0
279.321  147.81  0
164.122  58.3183  1
233.776  91.8315  1
172.775  66.0062  1
123.916  134.867  1
160.113  101.659  1
266.439  141.832  1
171.621  116.57  1
234.271  83.4642  1
233.218  87.4068  1
198.165  106.837  1
66.6111  85.3291  0
210.402  158.863  1
68.7195  143.719  0
73.1281  142.576  0
62.3417  81.9043  0
281.411  143.419  0
74.4131  143.353  0
201.425  195.031  0
181.975  211.484  0
89.2232  142.961  0
301.963  143.336  0
72.5968  144.455  0
110.069  130.104  1
119.166  130.09  1
233.064  95.4945  1
172.463  99.3364  1
214.463  104.336  1
187.958  69.068  1
72.7747  130.236  1
85.4596  131.335  1
272.691  130.467  1
193.857  157.13  1
197.84  212.798  0
271.183  116.466  0
